,tau,kappa,beta,sigma,delta_t,avg_reward
345,1.0,100.0,0.0075,10.0,1.0,2.091918409692786
346,1.0,100.0,0.0075,10.0,2.0,2.1031518409124392
347,1.0,100.0,0.0075,10.0,3.0,1.852359092911972
348,1.0,100.0,0.0075,10.0,4.0,1.923937342893548
349,1.0,100.0,0.0075,10.0,5.0,1.9928525332147526
350,1.0,100.0,0.01,0.5,1.0,2.054335548822746
351,1.0,100.0,0.01,0.5,2.0,2.2170286745822256
352,1.0,100.0,0.01,0.5,3.0,2.2551422616929457
353,1.0,100.0,0.01,0.5,4.0,2.0727959124366384
354,1.0,100.0,0.01,0.5,5.0,2.12011988347865
355,1.0,100.0,0.01,2.875,1.0,2.1924906126103156
356,1.0,100.0,0.01,2.875,2.0,2.581826832969493
357,1.0,100.0,0.01,2.875,3.0,1.7752312631911409
358,1.0,100.0,0.01,2.875,4.0,1.9024147811448642
359,1.0,100.0,0.01,2.875,5.0,1.8461093413699863
360,1.0,100.0,0.01,5.25,1.0,2.0951585477007053
361,1.0,100.0,0.01,5.25,2.0,2.2667638709332723
362,1.0,100.0,0.01,5.25,3.0,2.375653466542711
363,1.0,100.0,0.01,5.25,4.0,2.0825636956405686
364,1.0,100.0,0.01,5.25,5.0,2.2429230200970314
365,1.0,100.0,0.01,7.625,1.0,2.0545164116965773
366,1.0,100.0,0.01,7.625,2.0,2.0635140000543366
367,1.0,100.0,0.01,7.625,3.0,2.5294426192554025
368,1.0,100.0,0.01,7.625,4.0,1.8710717391946468
369,1.0,100.0,0.01,7.625,5.0,1.9830587213546753
370,1.0,100.0,0.01,10.0,1.0,2.266682372251936
371,1.0,100.0,0.01,10.0,2.0,2.3144036198963973
372,1.0,100.0,0.01,10.0,3.0,2.139471634228309
373,1.0,100.0,0.01,10.0,4.0,2.033864811779316
374,1.0,100.0,0.01,10.0,5.0,2.012677248307631
375,1.0,1000.0,0.0,0.5,1.0,2.2254245928242855
376,1.0,1000.0,0.0,0.5,2.0,2.331663601283606
377,1.0,1000.0,0.0,0.5,3.0,2.277905480109354
378,1.0,1000.0,0.0,0.5,4.0,2.455347885175965
379,1.0,1000.0,0.0,0.5,5.0,2.3870104697353653
380,1.0,1000.0,0.0,2.875,1.0,2.1916950470767396
381,1.0,1000.0,0.0,2.875,2.0,2.064188106343492
382,1.0,1000.0,0.0,2.875,3.0,2.508111310806579
383,1.0,1000.0,0.0,2.875,4.0,2.4983610032032604
384,1.0,1000.0,0.0,2.875,5.0,2.625018390472214
385,1.0,1000.0,0.0,5.25,1.0,1.617536129432228
386,1.0,1000.0,0.0,5.25,2.0,2.4632650037399495
387,1.0,1000.0,0.0,5.25,3.0,2.2712704642324844
388,1.0,1000.0,0.0,5.25,4.0,2.1145900739551555
389,1.0,1000.0,0.0,5.25,5.0,2.339844000844909
390,1.0,1000.0,0.0,7.625,1.0,2.4415960681599223
391,1.0,1000.0,0.0,7.625,2.0,2.458980858625754
392,1.0,1000.0,0.0,7.625,3.0,2.0855829665280936
393,1.0,1000.0,0.0,7.625,4.0,2.002033951747044
394,1.0,1000.0,0.0,7.625,5.0,2.375892204267906
395,1.0,1000.0,0.0,10.0,1.0,2.2258524262371933
396,1.0,1000.0,0.0,10.0,2.0,2.125022710164063
397,1.0,1000.0,0.0,10.0,3.0,2.3804646422902898
398,1.0,1000.0,0.0,10.0,4.0,1.9985676867726958
399,1.0,1000.0,0.0,10.0,5.0,2.392579802222323
400,1.0,1000.0,0.0025,0.5,1.0,2.1100264537186533
401,1.0,1000.0,0.0025,0.5,2.0,1.9373959433038312
402,1.0,1000.0,0.0025,0.5,3.0,1.8499966388661693
403,1.0,1000.0,0.0025,0.5,4.0,1.8655669034019007
404,1.0,1000.0,0.0025,0.5,5.0,2.058647593275233
405,1.0,1000.0,0.0025,2.875,1.0,2.3212435384494183
406,1.0,1000.0,0.0025,2.875,2.0,2.106516254709063
407,1.0,1000.0,0.0025,2.875,3.0,2.269088265673033
408,1.0,1000.0,0.0025,2.875,4.0,2.3915521652836196
409,1.0,1000.0,0.0025,2.875,5.0,2.130400473528902
410,1.0,1000.0,0.0025,5.25,1.0,2.2697833438724526
411,1.0,1000.0,0.0025,5.25,2.0,2.3382931923003567
412,1.0,1000.0,0.0025,5.25,3.0,2.3249314098177325
413,1.0,1000.0,0.0025,5.25,4.0,2.217016479703463
414,1.0,1000.0,0.0025,5.25,5.0,2.177133577954018
415,1.0,1000.0,0.0025,7.625,1.0,2.400201932595041
416,1.0,1000.0,0.0025,7.625,2.0,2.290159045137188
417,1.0,1000.0,0.0025,7.625,3.0,2.1416522675415908
418,1.0,1000.0,0.0025,7.625,4.0,2.061616133768596
419,1.0,1000.0,0.0025,7.625,5.0,2.349398900745446
420,1.0,1000.0,0.0025,10.0,1.0,2.2664385119087695
421,1.0,1000.0,0.0025,10.0,2.0,1.876191055349874
422,1.0,1000.0,0.0025,10.0,3.0,2.338748026112641
423,1.0,1000.0,0.0025,10.0,4.0,2.752197902146904
424,1.0,1000.0,0.0025,10.0,5.0,1.8910086381006685
